Entity,Code,Year,Maximum Antarctic sea ice extent,Minimum Antarctic sea ice extent
Antarctica,ATA,1979,18.196,3.141
Antarctica,ATA,1980,18.817,2.818
Antarctica,ATA,1981,18.597,2.873
Antarctica,ATA,1982,18.353,3.129
Antarctica,ATA,1983,18.585,3.07
Antarctica,ATA,1984,18.171,2.677
Antarctica,ATA,1985,18.703,2.836
Antarctica,ATA,1986,17.683,3.193
Antarctica,ATA,1987,18.246,3.254
Antarctica,ATA,1988,18.307,2.886
Antarctica,ATA,1989,18.121,2.978
Antarctica,ATA,1990,18.193,3.036
Antarctica,ATA,1991,18.313,3.161
Antarctica,ATA,1992,18.147,2.837
Antarctica,ATA,1993,18.543,2.482
Antarctica,ATA,1994,18.613,3.197
Antarctica,ATA,1995,18.373,3.561
Antarctica,ATA,1996,18.632,2.985
Antarctica,ATA,1997,18.596,2.49
Antarctica,ATA,1998,18.903,2.989
Antarctica,ATA,1999,18.696,2.966
Antarctica,ATA,2000,18.888,2.907
Antarctica,ATA,2001,18.175,3.65
Antarctica,ATA,2002,17.887,2.96
Antarctica,ATA,2003,18.298,3.789
Antarctica,ATA,2004,18.919,3.584
Antarctica,ATA,2005,18.805,2.97
Antarctica,ATA,2006,19.094,2.651
Antarctica,ATA,2007,18.861,2.905
Antarctica,ATA,2008,18.145,3.895
Antarctica,ATA,2009,18.96,2.991
Antarctica,ATA,2010,18.799,3.106
Antarctica,ATA,2011,18.739,2.519
Antarctica,ATA,2012,19.208,3.553
Antarctica,ATA,2013,19.389,3.836
Antarctica,ATA,2014,19.756,3.843
Antarctica,ATA,2015,18.444,3.799
Antarctica,ATA,2016,18.15,2.79
Antarctica,ATA,2017,17.906,2.288
Antarctica,ATA,2018,17.961,2.326
Antarctica,ATA,2019,18.335,2.655
Antarctica,ATA,2020,18.838,2.92
Antarctica,ATA,2021,18.509,2.892
Antarctica,ATA,2022,18.062,2.213
Antarctica,ATA,2023,16.801,1.913
Antarctica,ATA,2024,17.058,2.142
Antarctica,ATA,2025,,2.209
