Entity,Code,Year,Cold deaths,Heat deaths
Africa,,2019,11.52,0.25
Americas,,2019,5.41,0.92
Asia,,2019,8.25,0.77
Australia and New Zealand,,2019,9.63,1.52
Central Asia,,2019,9.72,0.68
East Asia,,2019,10.25,0.71
Eastern Europe,,2019,7.96,2.41
Europe,,2019,8.07,2.19
Latin America and the Caribbean,,2019,4.71,1.06
North Africa,,2019,9.17,0.56
North America,,2019,6.3,0.74
Northern Europe,,2019,7.84,1.58
Oceania,,2019,8.45,1.67
South Asia,,2019,7.43,0.91
South-east Asia,,2019,4.37,0.55
Southern Europe,,2019,8.72,2.42
Sub-Saharan Africa,,2019,11.85,0.2
West Asia,,2019,9.87,0.73
Western Europe,,2019,7.88,1.84
World,OWID_WRL,2019,8.52,0.91
